symbol,roa,roe,mce,niev,aegr,afcf,inc,avrt,wacc,ytd,exp_rat,debt / assets,inc / earn,roc
ROCC,-0.01,-0.17,2.83,0.04,-240.5,56.28,['1882'],-0.1,0.0,-10.0,0.69,0.38,0.2,-0.02
ROC,-0.0,-0.63,195.04,-0.0,0.0,0.0,,-0.32,-0.32,-6.32,0.0,0.0,0.0,-0.0
ROAD,0.07,0.11,3.57,0.01,-23.86,76.57,['1999'],0.12,0.08,9.13,0.96,0.26,0.07,0.09
RNXT,-1.35,0.07,1.13,-0.36,32.72,-22.64,,-1.32,,,inf,,-0.15,-0.43
RNWK,-0.2,-0.38,0.74,-0.65,85.78,28.48,['1994'],-0.39,,,1.32,,-0.01,-0.31
RNW,-0.01,-0.07,0.02,-6.64,31.25,123.15,,-0.05,0.05,-19.5,0.38,0.58,0.96,-0.01
RNST,0.01,0.07,1.03,0.08,24.75,9.67,['1904'],0.05,0.04,20.4,0.64,0.03,0.0,0.05
RNR,0.02,0.07,1.47,-0.0,41.96,8.6,['1993'],0.06,0.05,17.17,1.0,0.03,-2.14,0.04
RNLX,-4.84,-0.61,1.07,-0.45,1149.77,-59.21,,-5.14,,,23.06,,,-0.6
RNGR,-0.01,-0.02,1.12,0.03,-336.75,-121.22,,-0.02,-0.0,-50.0,1.14,0.05,-0.12,-0.01
RNG,-0.06,-0.38,10.15,-0.11,170.91,-96.55,['1999'],-0.25,-0.01,-4.1,1.19,0.54,-0.21,-0.08
RNER,-0.0,0.04,-39.72,-0.0,0.0,0.0,,0.02,0.02,50.2,0.0,0.0,0.0,-0.0
RNAZ,-1.9,0.45,0.26,-1.3,170.63,-37.25,,-1.67,,,inf,,-0.02,-3.23
RNA,-0.87,0.05,1.41,-0.22,121.97,-232.49,,-0.84,,,13.66,,,4.24
RMTI,-0.61,-4.16,40.03,-0.32,0.84,-14.38,['1996'],-2.69,-0.28,-3.17,1.49,0.27,-0.08,-0.89
RMR,0.1,0.24,2.44,0.08,-19.92,60.35,['1986'],0.22,0.22,6.75,0.56,0.0,0.0,0.12
RMNI,-0.02,-0.2,-4.48,0.21,123.29,-25.52,,-0.12,-12.71,-135.43,0.88,0.2,0.03,0.23
RMGC,0.01,-0.23,-19.56,0.01,0.0,0.0,,-0.11,-0.11,-10.19,0.0,0.0,-0.4,0.01
RMED,-0.99,-1.43,1.13,-1.63,5.86,-7.77,,-1.7,,,1331.27,,-0.0,-1.25
RMD,0.12,0.21,9.89,0.02,31.41,53.27,['1989'],0.22,0.18,6.35,0.72,0.15,0.02,0.14
RMCF,0.02,0.02,1.92,-0.01,-100.96,-1395.7,['1981'],0.03,0.03,33.63,0.96,0.0,,0.02
RMBS,-0.05,-0.07,4.82,0.0,-81.27,-26.7,['1990'],-0.08,,,0.9,,0.33,-0.05
RMBL,-0.24,-2.45,0.25,-0.09,-8.79,-173.66,,-1.46,-0.92,-9.88,1.01,0.28,-2.12,-0.6
RMBI,0.0,0.03,0.89,0.07,0.0,-101.16,['1887'],0.02,0.01,50.1,0.0,0.14,0.0,0.01
RMAX,0.03,0.02,0.76,-0.04,-100.09,47.24,['1973'],0.04,0.03,25.3,0.84,0.58,0.21,0.03
RM,0.04,0.17,1.02,0.31,72.7,-8.68,['1987'],0.12,0.05,8.83,0.61,0.7,0.19,0.04
RLYB,-0.42,0.13,1.05,-0.25,64.17,-41.52,,-0.36,-0.36,-6.38,inf,0.0,-0.0,-0.48
RLX,0.03,0.12,0.26,0.58,-6261.93,-45.39,,0.09,,,0.73,,,0.02
