symbol,adj growth,wacc,roa,dcf,current price,future price,growth,avg roc,niev,cash,net_margin
BLIN,-4.97,0.19269999999999998,-0.42,32138309454.55,1.36,3154.8,231871.0,-0.62,-0.48,1.06,-0.5
BLIN,-4.97,0.19269999999999998,-0.42,32138309454.55,1.36,3154.8,231871.0,-0.62,-0.48,1.06,-0.5
BKNG,4.01,0.1075,0.11,167848680592760.84,2085.44,4087907.9,195921.0,0.15,0.01,1.78,0.11
BKNG,4.01,0.1075,0.11,167848680592760.84,2085.44,4087907.9,195921.0,0.15,0.01,1.78,0.11
BEST,1.62,0.025699999999999997,-0.03,-44323116046.88,0.65,-114.03,-17643.0,-0.09,1.04,0.61,0.02
BEST,1.62,0.025699999999999997,-0.03,-44323116046.88,0.65,-114.03,-17643.0,-0.09,1.04,0.61,0.02
UWMC,2.17,0.0252,0.1,-418110019533.59,4.47,-4055.23,-90821.0,0.14,0.01,0.32,0.03
AMG,2.85,0.0882,0.03,9064345390451.15,162.48,222978.0,137134.0,0.03,0.09,1.66,0.23
VST,-4.8,0.0639,0.0,15406019335753.68,23.99,31921.11,132960.0,0.0,-0.11,0.23,-0.11
TLIS,0.83,0.0278,-1.03,-18675245296.29,0.5551,-710.39,-128075.0,-1.3,-13.16,12.17,-23.44
TCOM,0.67,0.0409,0.01,5652755255.04,32.26,8.87,-73.0,0.01,-0.03,0.3,-0.03
YPF,-0.41,0.0859,-0.0,3281959638070.46,8.26,8344.4,100922.0,-0.01,0.08,0.16,0.0
VNCE,-4.58,0.0716,-0.04,81822646439.58,7.79,6841.99,87730.0,-0.05,-0.14,0.01,-0.04
BWMX,1.03,0.0148,0.22,289035434650.99,6.86,7900.38,115066.00000000001,0.44,7.19,0.49,0.18
BWMX,1.03,0.0148,0.22,289035434650.99,6.86,7900.38,115066.00000000001,0.44,7.19,0.49,0.18
ANDE,2.53,0.0453,0.01,989837211233.32,36.41,29737.16,81573.0,0.02,0.09,0.09,0.01
BIDU,1.89,0.0436,0.05,17075053154520.92,113.8,49057.93,43009.0,0.06,0.25,0.49,0.08
BIDU,1.89,0.0436,0.05,17075053154520.92,113.8,49057.93,43009.0,0.06,0.25,0.49,0.08
TGS,0.65,0.0675,0.13,1378335481577.02,9.78,9155.21,93512.0,0.14,14.22,0.22,0.24
AE,2.65,0.0793,0.02,127434674075.39,37.03,29261.69,78922.0,0.03,0.07,0.53,0.01
AIH,-0.62,0.0438,-0.37,99471757.57,1.36,4.22,210.0,-4.32,-18.28,0.07,-0.91
AMST,0.36,0.036699999999999997,-1.12,-394232311.61,0.3146,-17.93,-5799.0,-1.41,-1.31,9.56,-13.0
VIRI,0.87,0.0013,-10.31,-24820578214.95,0.2996,-2979.52,-994599.0,0.53,-6.39,10.98,-inf
BRFS,0.42,0.042199999999999994,-0.02,8494504799.1,1.71,10.52,515.0,-0.02,0.3,0.35,0.01
BDL,1.99,0.0564,0.05,24780497759.88,28.39,13332.53,46862.0,0.06,0.22,1.62,0.09
BDL,1.99,0.0564,0.05,24780497759.88,28.39,13332.53,46862.0,0.06,0.22,1.62,0.09
ARI,2.3,0.1245,0.03,752019062778.57,12.11,5375.63,44290.0,0.03,0.13,3.14,0.7
CDAK,0.07,0.0385,-0.49,-4225787029.73,0.6855,-188.94,-27662.0,-0.56,-2.42,2.83,-1.62
CDAK,0.07,0.0385,-0.49,-4225787029.73,0.6855,-188.94,-27662.0,-0.56,-2.42,2.83,-1.62
CDMO,2.19,0.11689999999999999,0.05,333855979746.38,16.41,5421.37,32937.0,0.04,0.13,1.67,1.07
CDMO,2.19,0.11689999999999999,0.05,333855979746.38,16.41,5421.37,32937.0,0.04,0.13,1.67,1.07
ALGS,0.83,0.0053,-0.36,-48486226763.56,0.96,-1226.76,-127888.00000000001,-0.42,-3.14,4.8,-29.44
ASX,0.36,0.0717,0.05,241002924427.63,6.78,112.83,1564.0,0.08,4.41,0.36,0.11
ASX,0.36,0.0717,0.05,241002924427.63,6.78,112.83,1564.0,0.08,4.41,0.36,0.11
BAP,1.9,0.10210000000000001,0.02,4249313035745.42,150.04,53439.72,35517.0,0.05,0.3,0.09,0.27
BAP,1.9,0.10210000000000001,0.02,4249313035745.42,150.04,53439.72,35517.0,0.05,0.3,0.09,0.27
BTG,2.22,0.1117,0.11,1235771528287.33,3.57,1170.7,32693.0,0.11,0.11,2.91,0.24
BTG,2.22,0.1117,0.11,1235771528287.33,3.57,1170.7,32693.0,0.11,0.11,2.91,0.24
VSAT,-5.5,0.0645,-0.0,847074389197.61,35.43,11533.64,32452.999999999996,-0.01,-0.01,0.4,-0.01
VHC,-3.8,0.0643,-0.94,27735931902.3,1.28,389.37,30320.0,-1.23,-0.47,139.1,-1226.31
VVI,-4.31,0.11449999999999999,-0.11,179549226064.08,30.26,8745.57,28801.0,-0.12,-0.15,0.35,-0.18
USX,-1.71,0.0352,0.01,-7573162920.72,2.18,-217.56,-10080.0,0.02,0.1,0.01,0.01
TPHS,0.0,0.0403,-0.02,-660948389.58,0.8399,-18.25,-2273.0,-0.02,-0.54,0.14,0.0
BKKT,0.91,0.0222,-0.14,-24074740924.45,1.84,-421.15,-22989.0,-0.16,-1.74,5.32,-4.65
BKKT,0.91,0.0222,-0.14,-24074740924.45,1.84,-421.15,-22989.0,-0.16,-1.74,5.32,-4.65
BAND,-4.44,0.09029999999999999,0.01,99958319765.38,23.53,4314.37,18236.0,0.02,-0.05,3.55,-0.06
BAND,-4.44,0.09029999999999999,0.01,99958319765.38,23.53,4279.17,18086.0,0.02,-0.05,3.55,-0.06
VVOS,0.24,0.0206,-0.88,-1806934529.92,0.48,-78.52,-16458.0,1.04,-1.84,3.2,-1.2
WYNN,-4.29,0.0925,-0.04,1761029464090.35,85.15,15226.18,17782.0,-0.04,-0.08,1.96,-0.2
YMTX,0.19,0.0282,-0.87,-3594681938.7,1.72,-348.71,-20374.0,-1.19,-2.23,1.55,-4.91
BBU,-1.65,0.048499999999999995,0.0,-51703641888.13,18.72,-664.19,-3647.9999999999995,0.0,0.18,0.19,0.01
BBU,-1.65,0.048499999999999995,0.0,-51703641888.13,18.72,-664.19,-3647.9999999999995,0.0,0.18,0.19,0.01
CADL,0.73,0.0444,-0.35,-1771660428.93,1.88,-61.75,-3385.0,-0.38,-0.67,15.41,-288.99
CADL,0.73,0.0444,-0.35,-1771660428.93,1.88,-61.75,-3385.0,-0.38,-0.67,15.41,-288.99
ACHL,0.72,0.08449999999999999,-0.24,-2960137114.94,1.75,-72.9,-4266.0,-0.26,-0.86,13.94,-inf
AMK,2.75,0.0915,0.01,321874923462.12,24.79,4376.24,17553.0,0.01,0.01,1.3,0.05
VINP,0.45,0.0173,0.35,33916292275.91,10.0,799.02,7890.000000000001,0.67,0.37,0.63,0.45
BGRY,0.61,0.0416,-0.48,-7327553204.28,0.9791,-32.72,-3442.0,-0.61,-0.68,4.09,-3.02
BGRY,0.61,0.0416,-0.48,-7327553204.28,0.9791,-32.72,-3442.0,-0.61,-0.68,4.09,-3.02
ASM,-4.88,0.1527,-0.14,11884722367.66,0.707,116.24,16341.0,-0.16,-0.03,6.44,-0.18
WDH,0.66,0.0062,-0.22,-389776753250.5,1.61,-988.96,-61526.0,-0.37,-2.48,0.65,-0.49
TALS,0.45,0.0069,-0.26,-12547578179.73,1.45,-303.41,-21025.0,-0.27,-0.78,2.33,-inf
TKC,0.25,0.0682,0.07,857049939212.47,4.3,981.46,22725.0,0.09,1.34,1.09,0.14
BPTS,0.21,0.1275,-0.88,-379370738.7,0.4352,-29.41,-6858.0,-0.61,-5.57,1.03,-inf
BPTS,0.21,0.1275,-0.88,-379370738.7,0.4352,-29.41,-6858.0,-0.61,-5.57,1.03,-inf
BOXD,0.19,0.0023,,-47763063218.58,0.4276,-698.11,-163362.0,,-2.37,1.29,-0.39
BOXD,0.19,0.0023,,-47763063218.58,0.4276,-698.11,-163362.0,,-2.37,1.29,-0.39
ASO,1.64,0.0089,0.06,728799855931.21,49.92,8231.77,16390.0,0.08,0.15,0.43,0.1
TALK,0.45,0.0147,-0.88,-9384247357.2,0.85,-61.61,-7348.0,-1.61,-0.48,7.29,-0.55
BRFS,0.42,0.042199999999999994,-0.02,8494504799.1,1.71,10.52,515.0,-0.02,0.3,0.35,0.01
BCC,1.6,0.1074,0.11,342534636240.92,73.18,8709.07,11801.0,0.14,0.25,1.17,0.09
BCC,1.6,0.1074,0.11,342534636240.92,73.18,8709.07,11801.0,0.14,0.25,1.17,0.09
WIMI,-0.4,0.1153,0.01,288933013.96,0.8559,3.1,262.0,0.02,-2.95,8.19,-0.25
TCS,0.69,0.041100000000000005,0.04,1593490119.93,4.73,31.46,565.0,0.05,0.34,0.06,0.07
BKYI,0.07,0.023700000000000002,-1.79,-773771673.28,0.9999,-98.77,-9978.0,1.56,-0.65,3.88,-0.99
BKYI,0.07,0.023700000000000002,-1.79,-773771673.28,0.9999,-98.77,-9978.0,1.56,-0.65,3.88,-0.99
VLRS,-1.77,0.1032,-0.0,163117751067.09,9.87,1411.9,14205.000000000002,-0.0,1.86,0.59,0.05
ADXN,0.0,0.011000000000000001,-0.45,-2699753599.82,0.77,-474.32,-61700.0,-0.55,-3.49,4.95,0.0
BAK,-0.82,0.07400000000000001,0.02,412527249605.31,10.85,1036.41,9452.0,0.03,3.24,0.34,0.13
BAK,-0.82,0.07400000000000001,0.02,412527249605.31,10.85,1036.41,9452.0,0.03,3.24,0.34,0.13
UONE,0.0,0.0521,0.03,35925012000.0,5.17,3945.67,76219.0,0.04,0.18,1.24,0.0
AMX,0.69,0.1151,0.06,2724096986132.8,18.9,841.94,4355.0,0.08,3.15,0.07,0.22
ATLC,1.3,0.0701,0.05,43333301275.22,28.41,2870.93,10005.0,0.06,0.41,4.32,0.41
ATLC,1.3,0.0701,0.05,43333301275.22,28.41,2870.93,10005.0,0.06,0.41,4.32,0.41
WISH,0.87,0.0621,-0.22,-94976781833.33,0.7555,-164.6,-21887.0,-0.64,-0.74,2.25,-0.17
YELL,-1.25,0.0897,-0.03,-15680031989.39,3.11,-305.74,-9931.0,-0.04,-0.68,0.38,-0.02
UMC,0.79,0.096,0.06,1889501409929.76,7.41,763.23,10200.0,0.08,3.04,1.26,0.26
VRPX,0.52,0.0967,-30.84,-388515094.47,0.8499,-33.16,-4002.0000000000005,1.12,-1.21,17.65,-inf
UPS,1.75,0.0828,0.09,11391767701025.28,189.39,15623.18,8148.999999999999,0.13,0.08,0.58,0.13
ZNH,-1.14,0.0366,-0.01,-464890349725.01,28.97,-1371.49,-4834.0,-0.02,-0.77,0.2,-0.12
WSBF,0.29,0.0435,0.03,5532664682.9,16.89,221.96,1214.0,0.06,0.17,0.3,0.27
BNED,0.61,0.042800000000000005,-0.06,-3474590555.13,2.67,-66.83,-2603.0,-0.1,-0.5,0.03,-0.04
BNED,0.61,0.042800000000000005,-0.06,-3474590555.13,2.67,-66.83,-2603.0,-0.1,-0.5,0.03,-0.04
AGRI,0.35,0.029900000000000003,-3.74,-418631775.53,1.38,-27.8,-2114.0,15.96,-0.32,3.4,-inf
WOR,1.61,0.0842,0.1,202701673935.45,56.92,4027.13,6975.0,0.14,0.13,0.04,0.07
C,0.14,0.0464,0.01,440383502024.32,47.24,221.94,370.0,0.04,0.23,0.13,0.29
C,0.14,0.0464,0.01,440383502024.32,47.24,221.94,370.0,0.04,0.23,0.13,0.29
APT,1.57,0.030899999999999997,0.17,3994350999.43,4.0759,301.86,7306.0,0.18,0.13,6.13,0.1
BQ,-0.11,0.0377,-0.44,-8725121927.08,1.39,-96.72,-7058.0,0.54,-1.02,0.52,-0.11
BQ,-0.11,0.0377,-0.44,-8725121927.08,1.39,-96.72,-7058.0,0.54,-1.02,0.52,-0.11
BARK,0.23,0.0176,-0.41,-22464402210.59,1.73,-130.67,-7653.0,2.72,-0.23,1.84,-0.13
BARK,0.23,0.0176,-0.41,-22464402210.59,1.73,-130.67,-7653.0,2.72,-0.23,1.84,-0.13
VIEW,-0.03,0.0765,-0.77,-11627642503.62,1.4,-53.56,-3926.0,-1.57,-1.13,2.69,-4.63
AMOV,0.0,0.1153,0.06,515412228842.27,18.75,159.3,750.0,0.08,3.17,0.07,0.0
BHC,-0.13,0.0487,-0.06,19321188682.88,7.93,53.77,578.0,-0.07,-0.33,0.11,-0.11
BHC,-0.13,0.0487,-0.06,19321188682.88,7.93,53.77,578.0,-0.07,-0.33,0.11,-0.11
BGSF,1.71,0.12789999999999999,0.1,8528365150.01,13.25,819.73,6087.0,0.12,0.1,0.0,0.06
BGSF,1.71,0.12789999999999999,0.1,8528365150.01,13.25,819.73,6087.0,0.12,0.1,0.0,0.06
CBD,0.18,0.084,0.02,16969254133.05,3.69,63.02,1607.9999999999998,0.04,0.81,0.5,0.02
CBD,0.18,0.084,0.02,16969254133.05,3.69,63.02,1607.9999999999998,0.04,0.81,0.5,0.02
ADVM,0.21,0.0334,-0.3,-7724397544.95,0.66,-78.7,-12024.0,-0.32,-2.25,1.6,-19.41
TRTX,-0.87,0.044800000000000006,0.01,2279165502.13,7.42,29.58,299.0,0.01,0.24,5.92,0.86
AAN,-2.75,0.0286,-0.02,652714346.26,12.57,20.73,65.0,-0.02,0.28,0.07,0.06
ANPC,0.37,0.0621,-1.52,-6895310870.58,3.85,-388.12,-10181.0,-7.16,-1.74,0.15,-6.6
BIOC,-0.25,0.047,-1.16,69272304.86,0.7599,4.11,441.0,-2.14,-0.22,2.45,-0.05
BIOC,-0.25,0.047,-1.16,69272304.86,0.7599,4.11,441.0,-2.14,-0.22,2.45,-0.05
ACR,-1.64,0.0462,-0.02,-40991359.31,9.95,-4.35,-144.0,-0.02,0.36,1.96,0.48
APRN,0.04,0.0113,-0.29,-9788912979.94,1.02,-310.06,-30498.0,-0.41,-2.74,1.04,-0.19
YRD,-0.97,0.0596,0.07,13355679500.03,1.32,159.03,11948.0,0.15,9.32,1.88,0.23
ACXP,0.52,0.054299999999999994,-1.58,-1295690784.84,3.3,-126.83,-3943.0,-3.31,-0.38,15.36,-inf
UK,0.0,0.029500000000000002,-0.36,-15235242016.95,1.6499,-195.48,-11948.0,-0.74,-13.85,0.16,0.0
BIO,1.14,0.08039999999999999,0.2,430958064598.31,419.06,17352.08,4040.9999999999995,0.22,0.34,0.69,1.45
BIO,1.14,0.08039999999999999,0.2,430958064598.31,419.06,17352.08,4040.9999999999995,0.22,0.34,0.69,1.45
ADCT,0.22,0.04019999999999999,-0.63,-12664171176.52,3.62,-165.07,-4660.0,-0.72,-0.83,6.31,-6.78
BKD,-0.9,0.0429,-0.03,-18631955067.85,3.34,-100.52,-3110.0,-0.04,-0.16,0.55,-0.04
BKD,-0.9,0.0429,-0.03,-18631955067.85,3.34,-100.52,-3110.0,-0.04,-0.16,0.55,-0.04
VERU,-0.29,0.0329,-0.26,-1011206729.26,5.5,-12.64,-330.0,-0.36,0.02,7.76,0.12
AMZN,0.35,0.09179999999999999,0.06,-591089374111.83,94.13,-1165.52,-1338.0,0.11,0.7,0.25,0.07
WIRE,1.38,0.1207,0.15,115638755900.58,146.81,5708.86,3789.0,0.16,0.18,2.85,0.21
ATSG,1.25,0.06269999999999999,0.03,42578283694.3,28.11,573.84,1941.0,0.04,0.11,0.2,0.13
ATSG,1.25,0.06269999999999999,0.03,42578283694.3,28.11,573.84,1941.0,0.04,0.11,0.2,0.13
TUP,1.41,0.0687,0.06,9560224208.41,4.66,195.58,4097.0,0.17,0.08,0.48,0.01
AIR,1.77,0.1303,0.02,57143446433.74,47.56,1611.09,3286.9999999999995,0.03,0.05,0.15,0.04
BIP,1.0,0.0506,0.0,1206962045519.97,35.35,3954.74,11087.0,0.0,0.06,0.16,0.06
BIP,1.0,0.0506,0.0,1206962045519.97,35.35,3954.74,11087.0,0.0,0.06,0.16,0.06
TIG,0.4,0.0278,0.03,5832298747.73,2.8,113.97,3970.0000000000005,0.06,0.13,0.17,0.09
ARTNA,0.04,0.0425,0.03,-900409928.58,54.52,-105.62,-294.0,0.03,0.03,0.0,0.19
TME,0.21,0.0621,0.06,426194033380.04,7.4,251.8,3303.0,0.07,0.24,0.63,0.1
BOLT,0.72,0.028399999999999998,-0.74,-6055221560.88,1.45,-162.41,-11301.0,-0.93,-1.82,1.28,-78.25
BOLT,0.72,0.028399999999999998,-0.74,-6055221560.88,1.45,-162.41,-11301.0,-0.93,-1.82,1.28,-78.25
TMST,1.3,0.1189,-0.01,28776611419.19,19.25,622.76,3135.0,-0.0,0.19,1.04,0.13
AIM,0.18,0.022000000000000002,-0.43,-1300453087.59,0.4002,-27.18,-6892.0,-0.55,-1.0,47.69,-141.68
TDUP,0.15,0.168,-0.39,-671249646.27,1.46,-12.85,-980.0000000000001,-0.83,-0.44,0.95,-0.25
WIT,0.07,0.12179999999999999,0.12,936152355948.15,5.11,171.34,3253.0,0.16,4.38,0.34,0.15
AMCX,-0.11,0.04650000000000001,0.06,-443249931.23,19.23,-14.41,-175.0,0.07,0.31,0.84,0.08
ATCO,0.12,0.0621,0.04,-78644704202.36,15.36,-318.39,-2173.0,0.05,0.1,0.17,0.27
ATCO,0.12,0.0621,0.04,-78644704202.36,15.36,-318.39,-2173.0,0.05,0.1,0.17,0.27
ASTC,0.03,0.021400000000000002,-0.93,-702461671.67,0.3434,-14.19,-4232.0,-2.04,-0.49,9.86,-9.59
ASTC,0.03,0.021400000000000002,-0.93,-702461671.67,0.3434,-14.19,-4232.0,-2.04,-0.49,9.86,-9.59
XAIR,0.69,0.0304,-0.61,-2316836508.95,6.25,-86.97,-1492.0,-0.91,-0.26,7.49,-inf
VALE,-0.61,0.0883,0.09,2694284818490.96,16.72,556.12,3226.0,0.11,1.49,0.77,0.41
BEP,0.43,0.049400000000000006,-0.0,-96932050054.18,29.01,-352.47,-1315.0,-0.0,-0.04,0.24,-0.07
BEP,0.43,0.049400000000000006,-0.0,-96932050054.18,29.01,-352.47,-1315.0,-0.0,-0.04,0.24,-0.07
WLFC,-0.21,0.0315,0.02,-7174609968.04,48.44,-1192.58,-2562.0,0.02,0.01,0.16,0.01
ALKS,-0.13,0.0414,-0.07,2719763812.01,26.09,16.82,-36.0,-0.08,-0.01,0.72,-0.04
AAWW,-0.88,0.0557,0.03,74657778217.78,100.2,2571.9,2467.0,0.04,0.17,0.64,0.12
BNR,0.0,0.0451,0.0,0.0,2.54,0.0,-100.0,0.0,0.0,0.0,0.0
BNR,0.0,0.0451,0.0,0.0,2.54,0.0,-100.0,0.0,0.0,0.0,0.0
AUVI,0.32,0.0855,0.08,-224617032.33,1.01,-17.05,-1788.0,0.42,-0.56,1.78,-0.63
AUVI,0.32,0.0855,0.08,-224617032.33,1.01,-17.05,-1788.0,0.42,-0.56,1.78,-0.63
BDSX,0.13,0.1149,-0.54,-566707287.21,1.53,-20.97,-1471.0,-0.85,-1.04,1.13,-0.79
BDSX,0.13,0.1149,-0.54,-566707287.21,1.53,-20.97,-1471.0,-0.85,-1.04,1.13,-0.79
AMN,0.68,0.039599999999999996,0.07,15550240746.48,123.88,328.93,166.0,0.1,0.06,0.19,0.08
WBA,0.98,0.0425,0.04,292473677732.34,41.48,338.53,716.0,0.05,0.12,0.06,0.03
