symbol,lookahead,adj growth rate,wacc,terminal val,dcf,current price,future price,growth,niev,adj growth,avg roc,cash,net_margin,roa
APTX,-63653100.0,0.1,0.0852,,,0.259,,,-4.27,0.1,-0.49,18.66,-74.89,-0.47
ZKIN,0.0,0.0,0.0816,-80407345.45,-165855909.99,0.6301,-6.39,-1114.0,-0.23,0.0,0.08,0.3,0.0,0.04
MDGS,0.0,0.0,0.1427,0.0,0.0,5.99,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
PFIN,1946500.0,0.28,0.0471,-379925000.0,-219682038.22,5.35,-69.05,-1391.0,0.13,0.28,0.01,0.04,0.04,0.01
AGTC,-58601550.0,4.99,0.10099999999999999,-1057795555.56,-50200181972750.45,0.3936,-1171161.12,-297551198.0,-4.09,4.99,-0.69,1.84,-212.13,-0.49
ASTC,-7080500.0,0.03,0.0279,625615533.98,-541597485.66,0.3434,-10.94,-3286.0,-0.49,0.03,-2.04,9.86,-9.59,-0.93
ACMR,32093450.0,0.64,0.0812,-724720720.72,-1661400644.77,8.99,-93.27,-1137.0,0.22,0.64,0.09,2.73,0.15,0.06
ASLN,-26623375.3,0.09,0.09269999999999999,-662616624.39,,0.57,,,-0.79,0.09,-1.72,14.18,-inf,-1.04
LBTYB,0.0,0.0,0.0616,240900934579.44,172815313793.1,19.6,13364.63,68087.0,1.25,0.0,0.15,0.22,0.0,0.13
BLCM,-8249250.0,-0.12,0.09390000000000001,-417790608.7,-560040213.33,1.02,-66.69,-6638.0,-1.13,-0.12,-1.7,6.88,-1.57,-0.54
FIXX,-81399400.0,0.19,0.016200000000000003,5499960591.13,-14066707922.05,1.51,-246.14,-16401.0,-1.11,0.19,-0.4,6.29,-2.82,-0.37
CRVS,-36754850.0,1.19,0.0806,-883759259.26,-6451556668.63,1.02,-138.6,-13688.0,-0.91,1.19,-0.39,6.55,-inf,-0.36
FWP,-1608200.0,-0.16,0.076,-68148888.89,-95941951.71,2.81,-13.67,-586.0,-0.1,-0.16,-0.07,116.4,-inf,-0.07
COCP,-12057250.0,-0.08,0.09390000000000001,-229907155.32,-308373902.4,2.74,-3.16,-215.0,-0.05,-0.08,-0.73,38.0,-inf,-0.69
ONVO,-9730800.0,-0.16,0.07440000000000001,-222493617.02,-384845859.98,1.52,-44.21,-3009.0,-0.87,-0.16,-0.55,20.73,-7.63,-0.52
ALNA,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTRX,-54315000.0,-0.27,0.127,-596223675.31,-998551899.91,5.88,-37.31,-735.0,-0.41,-0.27,-0.09,0.29,-0.09,-0.06
AUTL,-120781600.0,0.29,0.1324,-1282400000.0,-1872880839.1,2.98,-25.68,-961.9999999999999,-0.65,0.29,-0.4,10.87,-60.99,-0.37
DSWL,6997200.0,-1.91,0.0613,55621052.63,-181554772.87,3.24,-11.39,-451.99999999999994,0.16,-1.91,0.05,0.56,0.1,0.04
CSTE,16121100.0,0.16,0.042800000000000005,16952325000.0,-878216665.08,6.26,-25.48,-507.0,0.09,0.16,0.03,0.41,0.03,0.02
OPGN,-29584855.2,0.3,0.1507,-209674141.88,-317100365.88,0.1501,-8.14,-5523.0,-5.95,0.3,-1.62,1.81,-8.08,-0.93
XBIT,-14801900.0,-7.39,0.1255,853642294.71,13393299106885.74,3.4,440579.19,12958111.0,-0.17,-7.39,0.07,68.63,-0.95,0.06
CDTI,-875500.0,0.04,0.0902,,,0.3,,,-0.7,0.04,-1.36,0.87,-0.21,-0.5
LMB,5706900.0,-0.93,0.058600000000000006,-1332222950.82,-3234929813.94,12.06,-313.94,-2703.0,0.05,-0.93,0.01,0.11,0.01,0.01
NICK,2548300.0,-0.26,0.0637,206238016.53,99549171.06,6.68,13.1,96.0,0.06,-0.26,0.01,0.75,0.08,0.01
BIOC,-2400400.0,-0.25,0.0451,710711688.31,73069443.42,0.7599,4.34,471.0,-0.22,-0.25,-2.14,2.45,-0.05,-1.16
CWBR,-13154409.6,0.01,0.1532,-129024294.16,-151254426.26,1.73,-1.76,-202.0,-0.1,0.01,-0.84,2.96,-inf,-0.74
EVOL,14828250.0,5.52,0.10060000000000001,36343035.99,26988159091931.98,1.45,2201820.9,151849617.0,0.98,5.52,-0.29,21.59,inf,-0.12
ADES,51340850.0,-1.24,0.0897,669385440.61,448514873.9,2.83,23.77,740.0,1.13,-1.24,0.18,3.48,0.6,0.15
BZUN,-186855500.0,-0.21,0.025,-13225379865.77,-38343942725.58,5.08,-529.92,-10531.0,-0.59,-0.21,0.05,0.96,-0.02,0.03
EVK,-78200.0,-0.08,0.0084,228071337.58,,0.6511,,,-0.01,-0.08,0.03,0.28,-0.0,0.02
NEPT,-63725983.25,0.5,0.11130000000000001,-754896776.73,-1339427045.9,0.6988,-8.01,-1246.0,-0.64,0.5,-0.64,0.29,-1.54,-0.5
GASS,-29854726.8,-0.08,0.0548,4625098260.4,3132810147.02,2.96,82.01,2671.0,-0.31,-0.08,-0.01,0.53,-0.23,-0.01
